GeneID	Symbol	Description	log2FC	Pvalue
101929691	LOC101929691	uncharacterized LOC101929691	-1.893	5.204
4953	ODC1	ornithine decarboxylase 1	-1.001	6.452
105373428	LOC105373428	uncharacterized LOC105373428	-1.33	5.756
101929733	LINC01954	long intergenic non-protein coding RNA 1954	2.28	5.149
9687	GREB1	growth regulating estrogen receptor binding 1	-1.114	3.833
7447	VSNL1	visinin like 1	-2.242	9.749
130497	OSR1	odd-skipped related transcription factor 1	1.48	2.231
4148	MATN3	matrilin 3	-2.382	7.528
338	APOB	apolipoprotein B	-7.693	19.821
9540	TP53I3	tumor protein p53 inducible protein 3	1.195	7.867
101929272	DTNB-AS1	DTNB antisense RNA 1	1.425	7.881
150946	GAREM2	GRB2 associated regulator of MAPK1 subtype 2	1.079	4.209
339778	FAM166C	family with sequence similarity 166 member C	-2.231	6.624
3777	KCNK3	potassium two pore domain channel subfamily K member 3	1.308	2.254
1058	CENPA	centromere protein A	-1.236	5.25
3795	KHK	ketohexokinase	-2.196	8.63
10669	CGREF1	cell growth regulator with EF-hand domain 1	-2.542	16.641
8884	SLC5A6	solute carrier family 5 member 6	-1.597	11.94
790	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	-1.094	13.611
57159	TRIM54	tripartite motif containing 54	-2.213	4.753
64838	FNDC4	fibronectin type III domain containing 4	-3.042	9.029
2646	GCKR	glucokinase regulator	-6.834	19.148
23160	WDR43	WD repeat domain 43	-1.153	13.546
238	ALK	ALK receptor tyrosine kinase	1.75	3.209
92291	CAPN13	calpain 13	1.633	4.009
79623	GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	-1.688	3.641
7498	XDH	xanthine dehydrogenase	1.139	2.352
5212	VIT	vitrin	1.943	4.595
25797	QPCT	glutaminyl-peptide cyclotransferase	-1.2	2.803
1545	CYP1B1	cytochrome P450 family 1 subfamily B member 1	-1.985	4.931
285154	CYP1B1-AS1	CYP1B1 antisense RNA 1	1.305	3.421
170850	KCNG3	potassium voltage-gated channel modifier subfamily G member 3	1.563	2.626
102723854	LINC01819	long intergenic non-protein coding RNA 1819	-4.735	6.04
130271	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2	1.211	3.787
64240	ABCG5	ATP binding cassette subfamily G member 5	-4.393	10.953
64241	ABCG8	ATP binding cassette subfamily G member 8	-4.206	9.231
90423	ATP6V1E2	ATPase H+ transporting V1 subunit E2	-1.029	7.079
105374588	LOC105374588	uncharacterized LOC105374588	2.233	4.067
9378	NRXN1	neurexin 1	2.003	2.313
5013	OTX1	orthodenticle homeobox 1	-3.064	5.583
102724233	LINC02576	long intergenic non-protein coding RNA 2576	1.062	3.907
4211	MEIS1	Meis homeobox 1	1.048	3.858
56902	PNO1	partner of NOB1 homolog	-1.235	17.45
200558	APLF	aprataxin and PNKP like factor	-1.154	6.871
4084	MXD1	MAX dimerization protein 1	1.441	7.814
119	ADD2	adducin 2	1.086	2.285
56603	CYP26B1	cytochrome P450 family 26 subfamily B member 1	1.144	2.6
2016	EMX1	empty spiracles homeobox 1	1.872	3.546
150726	FBXO41	F-box protein 41	-1.345	7.995
9027	NAT8	N-acetyltransferase 8 (putative)	-2.998	2.773
51471	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)	1.882	6.183
10797	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	-1.104	5.46
6242	RTKN	rhotekin	-1.002	9.314
3196	TLX2	T cell leukemia homeobox 2	1.724	4.902
6869	TACR1	tachykinin receptor 1	1.339	2.149
84141	EVA1A	eva-1 homolog A, regulator of programmed cell death	-3.84	18.529
5967	REG1A	regenerating family member 1 alpha	-2.057	2.806
5068	REG3A	regenerating family member 3 alpha	-3.088	2.771
1496	CTNNA2	catenin alpha 2	1.99	3.82
54884	RETSAT	retinol saturase	1.155	4.827
284948	SH2D6	SH2 domain containing 6	2.301	4.073
925	CD8A	CD8a molecule	1.068	3.455
400966	RGPD1	RANBP2 like and GRIP domain containing 1	-1.292	2.509
5343	PLGLB1	plasminogen like B1	-3.832	9.507
101928173	LINC01943	long intergenic non-protein coding RNA 1943	-1.094	3.11
5342	PLGLB2	plasminogen like B2	-3.768	9.659
105374852	LOC105374852	uncharacterized LOC105374852	-1.27	4.975
2168	FABP1	fatty acid binding protein 1	1.204	2.734
645784	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	2.322	7.299
3514	IGKC	immunoglobulin kappa constant	1.809	4.793
28946	IGKJ5	immunoglobulin kappa joining 5	1.827	4.449
28947	IGKJ4	immunoglobulin kappa joining 4	1.76	4.364
28948	IGKJ3	immunoglobulin kappa joining 3	1.994	5.37
28949	IGKJ2	immunoglobulin kappa joining 2	1.781	4.421
28950	IGKJ1	immunoglobulin kappa joining 1	1.839	5.115
28908	IGKV4-1	immunoglobulin kappa variable 4-1	1.38	2.487
28907	IGKV5-2	immunoglobulin kappa variable 5-2	2.277	5.201
28929	IGKV2-4	immunoglobulin kappa variable 2-4 (pseudogene)	2.359	2.392
28943	IGKV1-6	immunoglobulin kappa variable 1-6	1.74	3.837
28941	IGKV1-9	immunoglobulin kappa variable 1-9	1.889	4.305
28914	IGKV3-11	immunoglobulin kappa variable 3-11	1.958	5.613
28940	IGKV1-12	immunoglobulin kappa variable 1-12	1.953	5.2
28939	IGKV1-13	immunoglobulin kappa variable 1-13	1.718	2.634
28913	IGKV3-15	immunoglobulin kappa variable 3-15	1.533	3.718
28938	IGKV1-16	immunoglobulin kappa variable 1-16	1.478	2.232
28937	IGKV1-17	immunoglobulin kappa variable 1-17	1.538	2.417
28926	IGKV2-18	immunoglobulin kappa variable 2-18 (pseudogene)	2.095	2.373
28912	IGKV3-20	immunoglobulin kappa variable 3-20	1.625	3.801
28923	IGKV2-24	immunoglobulin kappa variable 2-24	2.088	5.223
28922	IGKV2-26	immunoglobulin kappa variable 2-26 (pseudogene)	2.01	3.397
28935	IGKV1-27	immunoglobulin kappa variable 1-27	1.921	4.733
28921	IGKV2-28	immunoglobulin kappa variable 2-28	1.809	3.89
28920	IGKV2-29	immunoglobulin kappa variable 2-29	1.857	2.855
28919	IGKV2-30	immunoglobulin kappa variable 2-30	1.958	4.513
28933	IGKV1-33	immunoglobulin kappa variable 1-33	1.289	2.311
28931	IGKV1-37	immunoglobulin kappa variable 1-37 (non-functional)	1.887	3.32
